,bet_count,stake,regressed_stake,loss,loss_per_bet,declined_bet_count,accepted_bet_count,likelihood_of_declined,likelihood_of_accepted
39,2,1.1543808064299286,1.4167459797176487,0.26236517328772013,0.13118258664386007,0,2,0.0,1.0
3080,2,1.1525113716833317,1.1525113716833117,1.9984014443252818e-14,9.992007221626409e-15,0,2,0.0,1.0
4635,2,0.9690425581248301,0.6579253403178824,0.3111172178069477,0.15555860890347384,0,2,0.0,1.0
8355,2,0.6084575118417068,0.594703086619867,0.013754425221839783,0.006877212610919892,1,1,0.5,0.5
4119,2,0.5939876729564552,0.7713503560706951,0.17736268311423997,0.08868134155711999,0,2,0.0,1.0
4545,2,1.1214163375427957,1.094637526919542,0.0267788106232536,0.0133894053116268,0,2,0.0,1.0
10187,2,1.6603692103905021,1.5223746115575638,0.1379945988329383,0.06899729941646915,0,2,0.0,1.0
2735,2,0.7175864276135511,0.7173826445658287,0.00020378304772239453,0.00010189152386119726,0,2,0.0,1.0
4665,2,0.49420062228486494,0.49420062228486494,0.0,0.0,0,2,0.0,1.0
8549,2,1.6602127771657724,1.9110238267798065,0.2508110496140341,0.12540552480701705,0,2,0.0,1.0
10087,2,0.8034577465462064,0.7505805091175002,0.0528772374287062,0.0264386187143531,1,1,0.5,0.5
7030,2,0.6680063638473805,0.6729774285064565,0.00497106465907593,0.002485532329537965,0,2,0.0,1.0
1570,2,1.625890165946819,1.62569435133874,0.00019581460807893691,9.790730403946846e-05,0,2,0.0,1.0
5935,2,0.7314947180152925,0.7314947180153372,4.463096558993129e-14,2.2315482794965646e-14,0,2,0.0,1.0
8410,2,0.9164993703050575,0.500086356375838,0.4164130139292195,0.20820650696460974,0,2,0.0,1.0
10019,2,0.47300344212478873,0.4730034421245857,2.0300428005270987e-13,1.0150214002635494e-13,0,2,0.0,1.0
144,2,1.4886644583007587,1.0979908304868378,0.3906736278139209,0.19533681390696045,0,2,0.0,1.0
77,2,0.9152217031966228,0.9152671893963045,4.548619968169909e-05,2.2743099840849546e-05,0,2,0.0,1.0
7231,2,0.9242209907537678,0.924261648555071,4.0657801303134455e-05,2.0328900651567228e-05,0,2,0.0,1.0
2066,2,0.7392209527028023,1.3029118955449246,0.5636909428421223,0.28184547142106114,0,2,0.0,1.0
1491,2,1.1566997965717771,0.9867064749320952,0.16999332163968195,0.08499666081984097,0,2,0.0,1.0
769,2,1.4684860466249305,1.5463883080461431,0.07790226142121259,0.038951130710606297,1,1,0.5,0.5
821,2,0.8915579335378117,1.1093786485372235,0.2178207149994118,0.1089103574997059,0,2,0.0,1.0
4127,2,0.5011348509514969,0.5011348509514969,0.0,0.0,0,2,0.0,1.0
10113,2,0.6934184794814803,0.39303626891896437,0.3003822105625159,0.15019110528125795,0,2,0.0,1.0
3076,2,1.1263430783176454,1.1318681198044822,0.005525041486836857,0.0027625207434184285,0,2,0.0,1.0
910,2,1.2425117993749395,1.0000000000000022,0.24251179937493728,0.12125589968746864,0,2,0.0,1.0
3641,2,0.7669090847865079,0.9999999999999999,0.233090915213492,0.116545457606746,0,2,0.0,1.0
8264,2,0.5989364263224246,1.0,0.4010635736775754,0.2005317868387877,0,2,0.0,1.0
7320,2,0.4750476418824128,0.726761197581145,0.2517135556987322,0.1258567778493661,0,2,0.0,1.0
7200,2,1.2397844587799143,1.1259077572335263,0.11387670154638796,0.05693835077319398,0,2,0.0,1.0
5800,2,0.5966955538245743,0.5621222918878188,0.03457326193675547,0.017286630968377736,1,1,0.5,0.5
3371,3,1.1960272711554363,1.8179095685454598,0.6218822973900235,0.20729409913000785,0,3,0.0,1.0
321,3,0.5091149852818588,1.0697428426580349,0.560627857376176,0.18687595245872535,0,3,0.0,1.0
10112,3,1.5291836302833017,1.6705263907308163,0.1413427604475146,0.047114253482504864,1,2,0.3333333333333333,0.6666666666666666
8919,3,0.8389536429086544,0.9645448624244002,0.1255912195157458,0.04186373983858194,1,2,0.3333333333333333,0.6666666666666666
9504,3,1.2629655114055311,1.0287629852861078,0.23420252611942338,0.07806750870647446,0,3,0.0,1.0
3327,3,0.9437573934901716,0.9437573934901715,1.1102230246251565e-16,3.700743415417188e-17,0,3,0.0,1.0
10161,3,1.8565112737228837,1.9999999999999991,0.1434887262771154,0.04782957542570513,0,3,0.0,1.0
5542,3,1.0849145930481192,1.2708144188360926,0.18589982578797337,0.061966608595991124,0,3,0.0,1.0
8053,3,1.6674814231847264,1.3072209878619354,0.36026043532279095,0.12008681177426365,0,3,0.0,1.0
6609,3,1.5129289354862097,1.5189796976647458,0.006050762178536173,0.0020169207261787245,0,3,0.0,1.0
8915,3,2.4111077252867448,1.0,1.4111077252867448,0.47036924176224826,0,3,0.0,1.0
9494,3,0.9826207938194182,1.1250997827791467,0.14247898895972844,0.047492996319909477,0,3,0.0,1.0
2105,3,0.9578605201643586,0.9285006839504387,0.02935983621391991,0.009786612071306636,0,3,0.0,1.0
1905,3,0.7689090029255469,0.640373223107987,0.12853577981755981,0.04284525993918661,0,3,0.0,1.0
1728,3,2.3584614599186056,2.634564312542494,0.27610285262388823,0.09203428420796274,1,2,0.3333333333333333,0.6666666666666666
1455,3,1.357829235574585,1.6109338533866775,0.2531046178120926,0.0843682059373642,0,3,0.0,1.0
10146,3,1.2266136572664823,1.2249325975264767,0.0016810597400056526,0.0005603532466685509,0,3,0.0,1.0
3990,3,1.4095645601545779,1.2556534178565657,0.15391114229801217,0.05130371409933739,1,2,0.3333333333333333,0.6666666666666666
3578,3,1.4399956708397554,1.3607669284375394,0.079228742402216,0.02640958080073867,0,3,0.0,1.0
6663,3,1.8940599503500004,1.5685506167618088,0.32550933358819156,0.10850311119606386,0,3,0.0,1.0
5893,3,1.5603892985745333,1.5603995182605828,1.0219686049417476e-05,3.406562016472492e-06,0,3,0.0,1.0
9544,3,2.4762503096365935,1.8873645489806998,0.5888857606558937,0.19629525355196456,0,3,0.0,1.0
4319,3,2.3978091016199725,1.9999999999999978,0.39780910161997474,0.13260303387332492,0,3,0.0,1.0
5063,3,2.018086896924568,1.6125685804066558,0.40551831651791237,0.13517277217263746,0,3,0.0,1.0
1059,3,1.4874540862235932,1.50981487330644,0.022360787082846834,0.007453595694282278,0,3,0.0,1.0
6656,3,2.6469236276461956,2.7020388372210746,0.05511520957487903,0.018371736524959676,1,2,0.3333333333333333,0.6666666666666666
9522,3,1.3059095249773107,1.1313866358575972,0.17452288911971348,0.05817429637323782,1,2,0.3333333333333333,0.6666666666666666
6650,3,1.9773914270394823,1.2100108101829654,0.7673806168565169,0.25579353895217233,0,3,0.0,1.0
3576,3,0.21029879914099525,0.12257611025276684,0.08772268888822841,0.029240896296076138,2,1,0.6666666666666666,0.3333333333333333
8978,3,2.6205181899314915,2.6202210336513807,0.00029715628011084405,9.905209337028135e-05,0,3,0.0,1.0
4572,3,2.2192683500790027,1.8943252559888806,0.3249430940901221,0.10831436469670737,0,3,0.0,1.0
1716,3,1.8821661761999517,1.3389653062477693,0.5432008699521824,0.18106695665072747,0,3,0.0,1.0
2895,3,1.2838364880645283,1.2242610187545375,0.0595754693099908,0.019858489769996934,0,3,0.0,1.0
617,3,1.5049340992759852,1.7868982148704113,0.28196411559442613,0.09398803853147537,0,3,0.0,1.0
9571,3,1.4851717259838362,1.650601968530249,0.16543024254641292,0.05514341418213764,0,3,0.0,1.0
5093,3,1.1701836157422156,1.2964488954533102,0.12626527971109458,0.04208842657036486,0,3,0.0,1.0
2276,3,0.9965903460195024,0.442957960355132,0.5536323856643703,0.1845441285547901,0,3,0.0,1.0
8348,3,2.248883769972159,1.9999999999999998,0.24888376997215933,0.08296125665738645,1,2,0.3333333333333333,0.6666666666666666
1273,3,0.966987750053277,1.2146327697417516,0.24764501968847463,0.08254833989615822,0,3,0.0,1.0
4584,3,1.9566892493485857,1.3381237087854363,0.6185655405631494,0.2061885135210498,0,3,0.0,1.0
4110,3,1.1536099426772883,1.765504598794753,0.6118946561174647,0.20396488537248825,0,3,0.0,1.0
2796,3,1.2742856323443954,1.8103222125622351,0.5360365802178397,0.17867886007261324,0,3,0.0,1.0
9353,3,2.2480637365177527,1.8764609833135717,0.371602753204181,0.12386758440139367,0,3,0.0,1.0
3539,3,1.3256244285878616,1.598953808444795,0.2733293798569334,0.09110979328564446,0,3,0.0,1.0
3248,3,0.8924835021483594,0.7956702263996069,0.09681327574875243,0.032271091916250806,1,2,0.3333333333333333,0.6666666666666666
5238,3,1.3964259182150318,1.81555472920357,0.41912881098853827,0.1397096036628461,0,3,0.0,1.0
2076,3,0.831859392625999,1.0919588754266998,0.26009948280070083,0.0866998276002336,0,3,0.0,1.0
7831,3,1.520117196501854,1.0912998094328024,0.4288173870690517,0.14293912902301723,0,3,0.0,1.0
2418,3,1.141459609230604,1.705534570610802,0.5640749613801981,0.18802498712673268,0,3,0.0,1.0
1171,3,0.9278896484169411,1.024844037172303,0.096954388755362,0.03231812958512067,0,3,0.0,1.0
15,3,2.0468406727622934,2.3554350899144243,0.3085944171521309,0.10286480571737695,0,3,0.0,1.0
508,3,1.7150716154986285,0.9999999999999964,0.7150716154986321,0.2383572051662107,1,2,0.3333333333333333,0.6666666666666666
9215,3,1.6148384027194524,1.000000000000001,0.6148384027194513,0.2049461342398171,0,3,0.0,1.0
12,3,1.6120367640507913,2.0,0.3879632359492087,0.12932107864973622,1,2,0.3333333333333333,0.6666666666666666
9313,3,1.0077782900117116,1.4936705855819827,0.48589229557027114,0.16196409852342372,0,3,0.0,1.0
1163,3,0.8685326766325353,1.3180754554414693,0.449542778808934,0.14984759293631134,0,3,0.0,1.0
10255,3,1.6383176387896499,1.8458728781531297,0.20755523936347986,0.06918507978782662,0,3,0.0,1.0
2833,3,1.0358936132350536,1.0,0.03589361323505358,0.011964537745017859,0,3,0.0,1.0
8433,3,0.7924014386600652,0.4465314342815427,0.3458700043785225,0.1152900014595075,0,3,0.0,1.0
471,3,1.940429970256722,2.0000000000000004,0.05957002974327841,0.019856676581092803,0,3,0.0,1.0
10270,3,2.4932434252433597,2.4002213357261404,0.09302208951721935,0.03100736317240645,1,2,0.3333333333333333,0.6666666666666666
9288,3,1.933080963368508,2.2542759534710948,0.3211949901025868,0.10706499670086227,0,3,0.0,1.0
